Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,home_Season,home_is_home,home_GoalsFor,home_GoalsAgainst,home_Shots,home_ShotsOT,home_Cards,home_GoalsFor_rolling_mean,home_GoalsFor_rolling_sum,home_GoalsAgainst_rolling_mean,home_GoalsAgainst_rolling_sum,home_Shots_rolling_mean,home_Shots_rolling_sum,home_ShotsOT_rolling_mean,home_ShotsOT_rolling_sum,home_Cards_rolling_mean,home_Cards_rolling_sum,home_Points_rolling_mean,home_Points_rolling_sum,home_PrevSeasonPoints,away_Season,away_is_home,away_GoalsFor,away_GoalsAgainst,away_Shots,away_ShotsOT,away_Cards,away_GoalsFor_rolling_mean,away_GoalsFor_rolling_sum,away_GoalsAgainst_rolling_mean,away_GoalsAgainst_rolling_sum,away_Shots_rolling_mean,away_Shots_rolling_sum,away_ShotsOT_rolling_mean,away_ShotsOT_rolling_sum,away_Cards_rolling_mean,away_Cards_rolling_sum,away_Points_rolling_mean,away_Points_rolling_sum,away_PrevSeasonPoints,h2h_points_home,h2h_points_away,home_value,away_value,home_goal_diff_rolling_mean,home_goal_diff_rolling_sum,away_goal_diff_rolling_mean,away_goal_diff_rolling_sum,home_points_sum,away_points_sum,home_points_rolling_mean,away_points_rolling_mean,home_points_sum_5,away_points_sum_5,home_points_mean_5,away_points_mean_5
E0,2019-08-31,15:00,Man City,Brighton,4,0,H,2,0,H,J Moss,15,6,6,2,10,6,8,1,1,1,0,0,2019,2019,1,4,0,15,6,1,3.333333333333333,10.0,1.0,3.0,21.0,63.0,8.0,24.0,2.0,6.0,2.333333333333333,7.0,,2019,0,0,4,6,2,1,1.3333333333333333,4.0,1.0,3.0,11.0,33.0,3.333333333333333,10.0,1.3333333333333333,4.0,1.3333333333333333,4.0,,0,0,1240.0,188.45,2.333333333333333,7.0,0.3333333333333332,1.0,7.0,4.0,2.3333333333333335,1.3333333333333333,7.0,4.0,2.3333333333333335,1.3333333333333333
E0,2019-08-31,15:00,Newcastle,Watford,1,1,D,1,1,D,G Scott,13,13,5,3,5,11,6,5,2,3,0,0,2019,2019,1,1,1,13,5,2,0.6666666666666666,2.0,1.3333333333333333,4.0,9.0,27.0,2.6666666666666665,8.0,2.0,6.0,1.0,3.0,,2019,0,1,1,13,3,3,0.3333333333333333,1.0,2.333333333333333,7.0,14.0,42.0,2.6666666666666665,8.0,1.3333333333333333,4.0,0.0,0.0,,0,0,218.58,235.05,-0.6666666666666666,-2.0,-2.0,-6.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
E0,2019-08-31,15:00,West Ham,Norwich City,2,0,H,1,0,H,P Tierney,18,8,8,3,16,10,8,2,2,1,0,0,2019,2019,1,2,0,18,8,2,1.3333333333333333,4.0,2.333333333333333,7.0,9.666666666666666,29.0,5.333333333333333,16.0,1.6666666666666667,5.0,1.3333333333333333,4.0,,2019,0,0,2,8,3,1,2.0,6.0,2.6666666666666665,8.0,11.0,33.0,6.0,18.0,1.3333333333333333,4.0,1.0,3.0,,0,0,344.75,85.4,-0.9999999999999998,-3.0,-0.6666666666666665,-2.0,4.0,3.0,1.3333333333333333,1.0,4.0,3.0,1.3333333333333333,1.0
E0,2019-08-31,17:30,Burnley,Liverpool,0,3,A,0,2,A,C Kavanagh,7,15,2,7,10,16,6,4,0,0,0,0,2019,2019,1,0,3,7,2,0,1.6666666666666667,5.0,1.0,3.0,13.666666666666666,41.0,4.333333333333333,13.0,1.0,3.0,1.3333333333333333,4.0,,2019,0,3,0,15,7,0,3.0,9.0,1.0,3.0,18.33333333333333,55.0,6.0,18.0,0.6666666666666666,2.0,3.0,9.0,,0,0,203.25,1080.0,0.6666666666666667,2.0,2.0,6.0,4.0,9.0,1.3333333333333333,3.0,4.0,9.0,1.3333333333333333,3.0
E0,2019-09-01,14:00,Everton,Wolves,3,2,H,2,1,H,A Taylor,15,8,6,5,12,12,7,7,1,4,0,1,2019,2019,1,3,2,15,6,1,0.3333333333333333,1.0,0.6666666666666666,2.0,11.333333333333334,34.0,2.0,6.0,2.6666666666666665,8.0,1.3333333333333333,4.0,,2019,0,2,3,8,5,6,0.6666666666666666,2.0,0.6666666666666666,2.0,10.333333333333334,31.0,2.0,6.0,1.3333333333333333,4.0,1.0,3.0,,0,0,440.0,310.4,-0.3333333333333333,-1.0,0.0,0.0,4.0,3.0,1.3333333333333333,1.0,4.0,3.0,1.3333333333333333,1.0
E0,2019-09-01,16:30,Arsenal,Tottenham,2,2,D,1,2,A,M Atkinson,26,13,8,9,13,19,11,6,3,5,0,0,2019,2019,1,2,2,26,8,3,1.3333333333333333,4.0,1.3333333333333333,4.0,11.0,33.0,4.666666666666667,14.0,2.0,6.0,2.0,6.0,,2019,0,2,2,13,9,5,1.6666666666666667,5.0,1.3333333333333333,4.0,17.0,51.0,3.6666666666666665,11.0,1.0,3.0,1.3333333333333333,4.0,,0,0,610.75,904.0,0.0,0.0,0.3333333333333335,1.0,6.0,4.0,2.0,1.3333333333333333,6.0,4.0,2.0,1.3333333333333333
E0,2019-09-14,12:30,Liverpool,Newcastle,3,1,H,2,1,H,A Marriner,21,8,9,1,5,4,10,1,0,0,0,0,2019,2019,1,3,1,21,9,0,3.0,12.0,0.75,3.0,17.5,70.0,6.25,25.0,0.5,2.0,3.0,12.0,,2019,0,1,3,8,1,0,0.75,3.0,1.25,5.0,10.0,40.0,3.25,13.0,2.0,8.0,1.0,4.0,,0,0,1080.0,218.58,2.25,9.0,-0.5,-2.0,12.0,4.0,3.0,1.0,12.0,4.0,3.0,1.0
E0,2019-09-14,15:00,Brighton,Burnley,1,1,D,0,0,D,M Oliver,14,7,5,1,13,7,3,6,0,2,0,0,2019,2019,1,1,1,14,5,0,1.0,4.0,1.75,7.0,9.75,39.0,3.0,12.0,1.25,5.0,1.0,4.0,,2019,0,1,1,7,1,2,1.25,5.0,1.5,6.0,12.0,48.0,3.75,15.0,0.75,3.0,1.0,4.0,,0,0,188.45,203.25,-0.75,-3.0,-0.25,-1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
E0,2019-09-14,15:00,Man United,Leicester City,1,0,H,1,0,H,M Atkinson,10,9,5,3,14,14,3,9,1,2,0,0,2019,2019,1,1,0,10,5,1,1.75,7.0,1.0,4.0,15.75,63.0,4.5,18.0,2.25,9.0,1.25,5.0,,2019,0,0,1,9,3,2,1.5,6.0,0.75,3.0,12.5,50.0,2.75,11.0,0.25,1.0,2.0,8.0,,0,0,801.1,439.0,0.75,3.0,0.75,3.0,5.0,8.0,1.25,2.0,5.0,8.0,1.25,2.0
E0,2019-09-14,15:00,Sheffield United,Southampton,0,1,A,0,0,D,L Mason,17,11,4,7,10,7,12,6,1,1,1,0,2019,2019,1,0,1,17,4,3,1.25,5.0,1.25,5.0,9.75,39.0,2.75,11.0,1.5,6.0,1.25,5.0,,2019,0,1,0,11,7,1,1.0,4.0,1.5,6.0,11.75,47.0,3.0,12.0,2.0,8.0,1.0,4.0,,0,0,56.5,294.5,0.0,0.0,-0.5,-2.0,5.0,4.0,1.25,1.0,5.0,4.0,1.25,1.0
