Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,home_GoalsFor_rolling_mean,home_GoalsFor_rolling_sum,home_GoalsAgainst_rolling_mean,home_GoalsAgainst_rolling_sum,home_Shots_rolling_mean,home_Shots_rolling_sum,home_ShotsOT_rolling_mean,home_ShotsOT_rolling_sum,home_Cards_rolling_mean,home_Cards_rolling_sum,home_Points_rolling_mean,home_Points_rolling_sum,home_PrevSeasonPoints,away_GoalsFor_rolling_mean,away_GoalsFor_rolling_sum,away_GoalsAgainst_rolling_mean,away_GoalsAgainst_rolling_sum,away_Shots_rolling_mean,away_Shots_rolling_sum,away_ShotsOT_rolling_mean,away_ShotsOT_rolling_sum,away_Cards_rolling_mean,away_Cards_rolling_sum,away_Points_rolling_mean,away_Points_rolling_sum,away_PrevSeasonPoints,h2h_points_home,h2h_points_away,home_value,away_value,home_goal_diff_rolling_mean,home_goal_diff_rolling_sum,away_goal_diff_rolling_mean,away_goal_diff_rolling_sum,home_points_sum,away_points_sum,home_points_sum_5,away_points_sum_5,home_points_mean_5,away_points_mean_5,value_gap,points_gap,goal_diff_gap,shots_gap,shots_ot_gap,cards_gap
E0,2019-08-17,15:00,Norwich City,Newcastle,3,1,H,1,0,H,S Attwell,15,10,8,3,9,11,7,5,1,3,0,0,2019,1.0,1.0,4.0,4.0,12.0,12.0,5.0,5.0,2.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,9.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,,0,0,85.4,218.58,-3.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.18,0.0,2.0,3.0,3.0,1.0
E0,2019-08-17,15:00,Southampton,Liverpool,1,2,A,0,1,A,A Marriner,14,15,3,6,10,6,5,9,2,1,0,0,2019,0.0,0.0,3.0,3.0,11.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,,4.0,4.0,1.0,1.0,15.0,15.0,7.0,7.0,0.0,0.0,3.0,3.0,,0,0,294.5,1080.0,-3.0,-3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,785.5,3.0,6.0,4.0,4.0,0.0
E0,2019-08-17,17:30,Man City,Tottenham,2,2,D,2,1,H,M Oliver,30,3,10,2,14,4,13,2,1,0,0,0,2019,5.0,5.0,0.0,0.0,14.0,14.0,9.0,9.0,2.0,2.0,3.0,3.0,,3.0,3.0,1.0,1.0,31.0,31.0,7.0,7.0,1.0,1.0,3.0,3.0,,0,0,1240.0,904.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,336.0,0.0,3.0,17.0,2.0,1.0
E0,2019-08-18,14:00,Sheffield United,Crystal Palace,1,0,H,0,0,D,D Coote,15,6,3,4,16,11,8,4,3,1,0,0,2019,1.0,1.0,1.0,1.0,8.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,,0,0,56.5,215.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,159.2,0.0,0.0,2.0,1.0,1.0
E0,2019-08-18,16:30,Chelsea,Leicester City,1,1,D,1,0,H,O Langford,14,12,5,3,9,14,4,5,1,0,0,0,2019,0.0,0.0,4.0,4.0,18.0,18.0,7.0,7.0,4.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,,0,0,863.75,439.0,-4.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,424.75,1.0,4.0,3.0,6.0,4.0
E0,2019-08-19,20:00,Wolves,Man United,1,1,D,0,1,A,J Moss,6,9,2,2,17,8,4,6,2,2,0,0,2019,0.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,,4.0,4.0,0.0,0.0,11.0,11.0,5.0,5.0,3.0,3.0,3.0,3.0,,0,0,310.4,801.1,0.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,490.70000000000005,2.0,4.0,3.0,3.0,1.0
E0,2019-08-23,20:00,Aston Villa,Everton,2,0,H,1,0,H,M Oliver,7,12,3,1,10,18,0,6,2,3,0,0,2019,1.0,2.0,2.5,5.0,14.5,29.0,5.5,11.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.0,0.0,11.0,22.0,2.5,5.0,2.5,5.0,2.0,4.0,,0,0,156.5,440.0,-1.5,-3.0,0.5,1.0,0.0,4.0,0.0,4.0,0.0,2.0,283.5,4.0,4.0,3.5,3.0,2.5
E0,2019-08-24,12:30,Norwich City,Chelsea,2,3,A,2,2,D,M Atkinson,6,23,5,8,9,9,1,8,1,1,0,0,2019,2.0,4.0,2.5,5.0,13.5,27.0,6.5,13.0,1.5,3.0,1.5,3.0,,0.5,1.0,2.5,5.0,16.0,32.0,6.0,12.0,2.5,5.0,0.5,1.0,,0,0,85.4,863.75,-0.5,-1.0,-2.0,-4.0,3.0,1.0,3.0,1.0,1.5,0.5,778.35,2.0,3.0,2.5,0.5,1.0
E0,2019-08-24,15:00,Brighton,Southampton,0,2,A,0,0,D,K Friend,12,12,3,4,9,10,8,5,1,3,1,0,2019,2.0,4.0,0.5,1.0,10.5,21.0,3.5,7.0,0.5,1.0,2.0,4.0,,0.5,1.0,2.5,5.0,12.5,25.0,3.0,6.0,1.0,2.0,0.0,0.0,,0,0,188.45,294.5,1.5,3.0,-2.0,-4.0,4.0,0.0,4.0,0.0,2.0,0.0,106.05000000000001,4.0,7.0,2.0,0.5,0.5
E0,2019-08-24,15:00,Man United,Crystal Palace,1,2,A,0,1,A,P Tierney,22,5,3,3,8,18,8,1,2,4,0,0,2019,2.5,5.0,0.5,1.0,10.0,20.0,3.5,7.0,2.5,5.0,2.0,4.0,,0.0,0.0,0.5,1.0,6.0,12.0,3.0,6.0,1.5,3.0,0.5,1.0,,0,0,801.1,215.7,2.0,4.0,-0.5,-1.0,4.0,1.0,4.0,1.0,2.0,0.5,585.4000000000001,3.0,5.0,4.0,0.5,1.0
E0,2019-08-24,15:00,Sheffield United,Leicester City,1,2,A,0,1,A,A Madley,8,10,3,2,11,6,7,4,1,0,0,0,2019,1.0,2.0,0.5,1.0,11.5,23.0,3.0,6.0,2.0,4.0,2.0,4.0,,0.5,1.0,0.5,1.0,13.5,27.0,2.0,4.0,0.0,0.0,1.0,2.0,,0,0,56.5,439.0,0.5,1.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,1.0,382.5,2.0,1.0,2.0,1.0,2.0
E0,2019-08-24,15:00,Watford,West Ham,1,3,A,1,1,D,C Kavanagh,23,16,3,10,12,11,8,7,1,1,0,0,2019,0.0,0.0,2.0,4.0,9.5,19.0,2.5,5.0,1.5,3.0,0.0,0.0,,0.5,1.0,3.0,6.0,6.5,13.0,3.0,6.0,2.0,4.0,0.5,1.0,,0,0,235.05,344.75,-2.0,-4.0,-2.5,-5.0,0.0,1.0,0.0,1.0,0.0,0.5,109.69999999999999,1.0,1.0,3.0,0.5,0.5
E0,2019-08-24,17:30,Liverpool,Arsenal,3,1,H,1,0,H,A Taylor,25,9,5,3,8,5,6,4,1,1,0,0,2019,3.0,6.0,1.0,2.0,15.0,30.0,6.5,13.0,0.5,1.0,3.0,6.0,,1.5,3.0,0.5,1.0,12.0,24.0,5.5,11.0,2.5,5.0,3.0,6.0,,0,0,1080.0,610.75,2.0,4.0,1.0,2.0,6.0,6.0,6.0,6.0,3.0,3.0,469.25,0.0,2.0,3.0,1.0,2.0
E0,2019-08-25,14:00,Bournemouth,Man City,1,3,A,1,2,A,A Marriner,10,19,7,5,7,13,4,5,1,3,0,0,2019,1.5,3.0,1.0,2.0,12.5,25.0,3.5,7.0,2.0,4.0,2.0,4.0,,3.5,7.0,1.0,2.0,22.0,44.0,9.5,19.0,1.5,3.0,2.0,4.0,,0,0,299.0,1240.0,0.5,1.0,2.5,5.0,4.0,4.0,4.0,4.0,2.0,2.0,941.0,0.0,4.0,9.5,6.0,0.5
E0,2019-08-25,16:30,Tottenham,Newcastle,0,1,A,0,1,A,M Dean,17,8,2,3,10,5,6,6,2,2,0,0,2019,2.5,5.0,1.5,3.0,17.0,34.0,4.5,9.0,0.5,1.0,2.0,4.0,,0.5,1.0,2.0,4.0,9.5,19.0,2.5,5.0,2.0,4.0,0.0,0.0,,0,0,904.0,218.58,1.0,2.0,-1.5,-3.0,4.0,0.0,4.0,0.0,2.0,0.0,685.42,4.0,5.0,7.5,2.0,1.5
